Term,BioGPT_Definition
Atypical,a rare form of the disease.
Abduction,a common clinical presentation of the acute abdomen.
Abdominocentesis,a safe and effective procedure for the diagnosis of ascites in patients with cirrhosis.
Cardiac,the most common site of metastasis.
Acouesthesia,a common complaint in patients with chronic pain.
Adduction,a common complication of the use of intravenous (IV) corticosteroids in patients with inflammatory bowel disease.
Myalgia,a common complaint in the general population.
Oligohydramnios,a common finding in pregnancies complicated by fetal growth restriction (FGR).
Anoxia,a common cause of death in the neonatal period.
Lymphangitis,a rare complication of chronic venous insufficiency.
Antepartum,a period of increased risk for preterm birth.
Antipsychotic,a common treatment for schizophrenia.
Aortography,the gold standard for diagnosis of aortic dissection.
Plasmapheresis,a therapeutic option for the treatment of severe acute pancreatitis.
Appendicular,the most common site of appendicectomy in children.
Coronary,a common cause of death in patients with diabetes mellitus.
Myasthenia gravis,an autoimmune disease characterized by fluctuating weakness of the extraocular muscles.
Artroscope,a new device for the diagnosis of esophageal diseases.
Audiology,a specialty that deals with the hearing of people.
Auricular Cartilage,a promising source of autologous cartilage for auricular reconstruction.
Axillary Lymph Node,the most common site of metastasis in breast cancer.
Barotrauma,a common complication of cardiac surgery.
Biceps,the most common tendon involved in rotator cuff tears.
Myeloblast,the most common cell type in acute myeloid leukemia (AML).
Blepharoplasty,a common aesthetic surgery performed by plastic surgeons.
Brachial Artery,a common site of arterial injury in patients with diabetes mellitus.
Bradycardia,a common complication of the use of intravenous (IV) magnesium sulfate.
Bronchospasm,a common complication of asthma.
Bronchiolitis,a common cause of hospitalization in infants.
Calcification,a common finding in the aorta and its branches.
Cancerous,a type of cancer that has the ability to invade and metastasize.
Adenocarcinoma,the most common type of lung cancer.
Myocarditis,a rare but potentially fatal complication of acute viral myocarditis.
Radiocarpal,the most common site of involvement.
Celiac Artery,a rare but important source of gastrointestinal bleeding.
Thoracentesis,a safe procedure that can be performed in the outpatient setting.
Cerebroside,a major component of the brain and cerebrospinal fluid (CSF).
Cheiloplasty,a common procedure in cleft palate repair.
Cholesterol,a major component of the cell membrane and plays an important role in many cellular processes.
Chromogen,added to the reaction mixture and the color change of the solution measured.
Colorectal,the third most common cancer in men and second in women.
Coniophage,"a new genus of the family Siphoviridae, which infects bacteria in the order Bacillales."
Corometer,a new device for measuring the distance between two points on an object.
Coronary Artery,the most common site of atherosclerotic disease in patients with diabetes mellitus.
Costophrenic Angle,a common finding in patients with Down syndrome.
Craniotomy,the most common neurosurgical procedure performed in children.
Cryosurgery,a safe and effective treatment for the management of benign prostatic hyperplasia.
Cryptorchism,a common disorder in childhood.
Cutaneous Lymphoma,a heterogeneous group of diseases characterized by the infiltration and proliferation of malignant lymphocytes in various tissues.
Cytology,a useful adjunct to the diagnosis of this condition.
Polydactyly,a common congenital anomaly of the hand.
Dehydrate,a common cause of acute pancreatitis.
Dentine,a complex biological material that has been used in the past for many years as an alternative to synthetic materials.
Denture,a common cause of dysphagia.
Epidermal,a major target of the immune system.
Pleurodesis,a common procedure in the management of malignant pleural effusions.
Dextrocardia,a rare congenital heart disease.
Dialysis,a life-saving procedure for patients with end stage renal disease.
Diploid,the most common form of cancer in humans.
Dorsolateral,the most common site of involvement.
Syndrome,a rare complication of chronic pancreatitis.
Dysphagia,a common symptom in patients with head and neck cancer.
Esophageal,the most common site of metastasis from breast cancer.
Echography,a useful tool for the diagnosis of this disease.
Bronchiectasis,a chronic inflammatory disease of the airways characterized by progressive destruction and narrowing.
Mastectomy,the most common surgical procedure for breast cancer.
Polyembryoma,a polyploid tumor of the embryonic kidney.
Hematemesis,a common presentation of gastric cancer.
Anemia,"a common complication of chronic kidney disease (CKD) and may be associated with increased morbidity, mortality, and health care costs."
Emmetropia,a common condition in children.
Anencephaly,"a rare congenital anomaly, which can be associated with other malformations."
Endotracheal,the most common site of infection.
Epidermis,a complex tissue that has been shown to be involved in the pathogenesis of several skin diseases.
Episiotomy,"a common obstetric procedure, but the incidence of perineal tears has not been well studied."
Diuresis,a common side effect of the use of these drugs.
Esophagitis,a common complication of gastroesophageal reflux disease (GERD).
Etiology,unknown.
Eupnea,a complex behavior that involves the coordination of several respiratory muscles.
Facioplasty,a well-established procedure for correcting facial asymmetry.
Fetoplacental Relation,a Risk Factor for Childhood Asthma.
Galactose,the only sugar that can be used as a carbon source for growth of S.
Epigastric,the most common site of metastasis.
Teratogen,a term used to describe the adverse effects of drugs on human development.
Carcinogenic,a complex process that involves multiple genetic and epigenetic alterations.
Gingivitis,a common oral disease that can lead to tooth loss.
Macroglossia,a rare congenital anomaly of the tongue.
Hypoglycemia,a common complication of diabetes mellitus.
Prognathous,"a rare condition, and the diagnosis of this anomaly can be challenging."
Electrocardiogram,a useful tool for the diagnosis of acute myocardial infarction.
Electrocardiograph,a useful tool for the diagnosis of cardiac arrhythmias.
Echocardiography,a useful tool for the diagnosis of cardiac involvement in systemic lupus erythematosus.
Gynecology,a specialty that deals with the care of women.
Hemorrhoid,a common disease in the elderly.
Hematology,a useful tool for the diagnosis of acute and chronic diseases.
Hemicolectomy,the treatment of choice for patients with acute colonic diverticulitis.
Hepatitis,"a common disease in the United States, and it has been associated with increased risk of cardiovascular events."
Heterogeneous,a common feature of the human genome.
Hidradenoma,a rare benign tumor of the breast.
Histamine,a potent bronchoconstrictor and mast cell degranulating agent.
Homozygous genotype,associated with a higher risk of developing the disease.
Humeroscapular,a rare condition.
Hypertension,a major risk factor for cardiovascular disease.
Hypnotism,a rare but serious complication of electroconvulsive therapy (ECT).
Hypotension,a common complication of the use of intravenous (IV) fluids.
Hysterectomy,the most common surgical procedure performed in women.
Hemophilia,a rare X-linked bleeding disorder caused by deficiency of coagulation factor VIII (FVIII) or IX.
Psoriasis,a chronic inflammatory skin disease characterized by epidermal hyperplasia and infiltration of immune cells.
Psychiatrist,the most important person to be involved in this process.
Psychiatry,a field of medicine that has been undergoing rapid change.
Ichthyoid,a rare tumor of the thyroid gland.
Postical,the possibility of a more effective treatment with an increased dose.
Ileocecal Valve,a rare congenital anomaly.
Ileitis,a common complication of Crohn's disease (CD).
Iliac Artery,the most common site of arterial injury.
Intercostal,a common site of metastasis in patients with breast cancer.
Intramuscular,the most common site of infection.
Iritis,a common complication of uveitis.
Iridocyclitis,a common inflammatory disease of the eye.
Ischophonia,a common symptom in patients with Parkinson's disease (PD).
Ischiatic Nerve,a common source of pain in the lower back and pelvis.
Hypothyroidism,a common endocrine disorder that can cause significant morbidity and mortality.
Isointense,a common finding in the MR images of patients with acute stroke.
Arthritiss,a rare disease characterized by the presence of tender nodules on the skin and joints.
Immunity,a complex process that involves the interaction of multiple cell types and molecules.
Epithelium,a complex tissue that has been shown to be involved in the pathogenesis of many diseases.
Juxtaposition,a common feature of the human genome.
Hyperkalemia,a common electrolyte abnormality in patients with chronic kidney disease (CKD).
Megakaryocyte,a highly specialized cell that plays an important role in the regulation of blood production.
Keratoplasty,a surgical procedure that has been used for the treatment of corneal diseases.
Keratosis,a common skin disorder characterized by the presence of hyperkeratotic papules and plaques.
Kinetics,described by a first-order equation.
Labiodental,a useful marker for the diagnosis of congenital heart disease.
Nasolacrimal,a common congenital anomaly.
Lactoferrin,"a multifunctional protein that has been shown to be involved in the regulation of immune responses, inflammation and angiogenesis."
Leukemia,a common malignancy in children.
Linguistics,a discipline that has been used to study the structure and function of language.
Lipectomy,a safe and effective treatment for patients with severe obesity.
Oncologist,the most important factor in determining treatment.
Cardiology,a specialty that deals with the diagnosis and treatment of heart disease.
Thrombolysis,a well-established treatment for acute ischemic stroke.
Osteolytic,a rare complication of chronic osteomyelitis.
Macrophage,a key cell in the innate immune system.
Osteomalacia,a metabolic bone disease characterized by low serum levels of 25-hydroxyvitamin D (25OHD) and elevated urinary excretion of calcium.
Mammography,the most common imaging modality used to screen for breast cancer.
Acromegaly,a rare disease characterized by excessive growth hormone (GH) secretion and excess of insulin-like growth factor I.
Mentolabial,"a complex and dynamic process that involves the facial skeleton, lips, oral mucosa, tongue, palate, and nasal cavity."
Dementia,a common and serious condition that affects the quality of life for many people.
Metacarpal bones,a common site of injury in the hand.
Sphygmomanometer,a widely used device for measuring blood pressure.
Spirometry,a useful tool for the diagnosis of asthma and COPD.
Microglia,the resident immune cells of brain and plays a critical role in maintaining homeostasis.
Monocyte,a key cell in the pathogenesis of atherosclerosis.
Morphology,a key factor in the diagnosis of this disease.
Multipara,"a rare condition, and the diagnosis of multipara can be challenging."
Myoma,a common benign tumor of the uterus.
Myringotome,"a rare, benign tumor of the oral cavity."
Myxoma,a benign tumor of the heart.
Nanomelia,a rare congenital anomaly characterized by the presence of two or more limbs.
Paranasal,a rare site for metastasis of breast cancer.
Natality,a complex phenomenon that has been studied in many different ways.
Neonate,the most vulnerable age group to develop severe complications.
Nephron,a complex organ that plays an important role in the regulation of blood pressure.
Neurosis,a common disorder in the elderly.
Nocturia,a common symptom in patients with BPH.
Nulligravida,associated with an increased risk of preterm birth.
Nyctophobia,a genus of nitrogen-fixing bacteria that are found in the soil and water.
Ocular,a rare site of metastasis from breast cancer.
Odontalgia,a painful condition of the orofacial region that can be caused by various factors.
Steroid,a potent inhibitor of the growth and differentiation of many cell types.
Oliguria,a common finding in patients with acute renal failure.
Melanoma,the most common skin cancer in humans.
Angiosarcoma,a rare malignant tumor of the skin and soft tissues.
Opthalmoscope,a useful tool for the diagnosis of ocular surface diseases.
Diplopia,a common complaint in patients with orbital tumors.
Biopsy,the gold standard for diagnosis of this condition.
Orchitis,a common complication of HIV infection.
Orchidoepididymectomy,a common procedure in the management of patients with azoospermia.
Endometriosis,a common gynecological disease that affects women of reproductive age.
Endosteum,a highly vascularized tissue that has been used as an alternative to bone grafts in the treatment of large segmental defects.
Colostomy,a common procedure in the treatment of colorectal cancer.
Otoplasty,a common procedure in the treatment of congenital aural atresia.
Laparotomy,the preferred method of diagnosis and treatment.
Aqueous,the most common solvent for protein crystallization.
Ovulation,induced by the administration of human chorionic gonadotropin (hCG).
Pachyderma,a rare disease characterized by hyperkeratosis of the skin.
Palatoschisis,a rare congenital anomaly of the palate.
Pancytopenia,a rare complication of acute pancreatitis.
Papillary,a common benign tumor of the thyroid gland.
Parathyroid glands,a common endocrine gland that secretes parathyroid hormone (PTH).
Hemiparesis,a common complication of stroke.
Patellectomy,a common procedure in the treatment of osteoarthritis.
Lymphadenopathy,a common finding in patients with HIV infection.
Pediatrics,a field of medicine that has been undergoing rapid change.
Pedestrian,a major vehicle for the transport of children.
Thrombocytopenia,a common complication of acute pancreatitis.
Dyspepsia,a common disorder in the general population.
Percutaneous,a safe and effective treatment for patients with symptomatic benign biliary strictures.
Peripheral vision,"a critical component of the visual system, and it has been shown that peripheral vision can be impaired by various pathologies."
Osteopetrosis,a rare inherited disorder characterized by defective bone resorption and increased bone formation.
Oophoropexy,a surgical procedure that has been used to treat patients with chronic constipation.
Phacolysis,a rare complication of pregnancy.
Dysphagia,a common symptom in patients with head and neck cancer.
Aphasia,a common symptom in patients with stroke.
Phlebitis,a common complication of peripheral intravenous (IV) access.
Photophobia,a common complaint in patients with migraine.
Photosensitivity,"a common feature of many skin diseases, including psoriasis."
Phrenopathy,a common cause of chronic renal failure in children.
Physiology,a complex process that involves the integration of multiple signals.
Symphysis,a common site of injury in children.
Hyperplasia,a common finding in the lungs of patients with cystic fibrosis (CF).
Cytoplasm,the main site of protein synthesis in eukaryotic cells.
Rhinoplasty,a common procedure in plastic surgery.
Hemiplegia,a common complication of stroke.
Sleep apnea,a common disorder that can be associated with cardiovascular disease.
Pneumonectomy,a life-saving procedure for patients with advanced lung cancer.
Podocyte,a highly specialized cell type that plays an important role in the maintenance of glomerular filtration barrier.
Hemopoiesis,a complex process that requires the coordinated action of multiple cell types.
Polyuria,a common feature of the syndrome.
Postpartum,a period of increased risk for cardiovascular disease (CVD).
Prenatal,a period of rapid growth and development.
Prognosis,"poor, with a median survival of only 3 months."
Proctology,a specialty that deals with the treatment of anorectal disorders.
Prostatitis,a common inflammatory disease of the prostate.
Apoptosis,a process of cell death that plays an important role in the development and maintenance of normal tissues.
Quadriceps,the most commonly injured muscle in patients with anterior cruciate ligament (ACL) injury.
Retinopathy,a common complication of diabetes mellitus.
Rhinoorrhea,a common symptom in patients with chronic rhinosinusitis (CRS).
Rhytidoplasty,"a popular aesthetic procedure, but the long-term results are not well known."
Hemorrhage,a common complication of liver transplantation.
Cholecystorrhaphy,a safe and effective procedure for the treatment of acute cholecystitis.
Diarrhea,the most common complication of HIV infection.
Amniorrhexis,a rare complication of pregnancy.
Salpingotomy,a common procedure in the management of infertility.
Pyosalpinx,a rare condition that can be caused by infection with Mycobacterium tuberculosis or other mycobacteria.
Rhabdomyosarcoma,the most common soft tissue sarcoma in children.
Scapulectomy,a common procedure in the treatment of scapula fractures.
Cranioschisis,a rare congenital anomaly of the central nervous system.
Arteriosclerosis,"a chronic disease of the arterial wall, which leads to progressive narrowing and occlusion."
Endoscope,a useful tool for the diagnosis of gastrointestinal diseases.
Endoscopy,the gold standard for diagnosis of gastric cancer.
Sebaceous gland,a common site of metastasis from breast cancer.
Semilunar valves,a common cause of mitral regurgitation in the elderly.
Sialic Acid,"a key component of the glycocalyx, which covers most mammalian cells."
Agranulocytosis,a rare but serious complication of chemotherapy.
Vasospasm,a common complication of subarachnoid hemorrhage (SAH).
Spirometer,"a simple, inexpensive and reliable instrument for the measurement of blood gases."
Homeostasis,maintained by the balance between cell proliferation and apoptosis.
Ureterostenosis,a rare complication of ureterovesical reimplantation.
Stethoscope,a device that can be used to monitor the heart rate and blood pressure.
Nephrostomy,a common procedure in the management of obstructive uropathy.
Subcutaneous,a common site of infection in patients with diabetes mellitus.
Suprascapular,a common site of injury in the shoulder.
Symphysis,a common site of injury in children.
Tachycardia,a common finding in patients with chronic heart failure (CHF).
Tarsitis,a common condition in the elderly.
Metatarsal,the most common site of involvement.
Tendinitis,a common condition in the elderly.
Teratoma,a rare tumor of the ovary.
Testicular,a rare site for metastasis of breast cancer.
Tetralogy of Fallot,a common cyanotic congenital heart disease.
Thoracolumbar Spine,a common site of injury in road traffic accidents.
Hemothorax,a rare complication of percutaneous nephrolithotomy (PCNL).
Thrombin,a potent activator of platelets and has been implicated in the pathogenesis of atherosclerosis.
Dystocia,the most common complication of pregnancy.
Dermatome,a common site of pain in patients with chronic pancreatitis.
Transdermal,a new method of drug delivery.
Triceps,the most common site of metastasis.
Cholecystolithotripsy,a safe and effective treatment for symptomatic gallbladder stones.
Hypertrophy,a common finding in patients with hypertrophic cardiomyopathy (HCM).
Tympanometry,a useful tool for the diagnosis of middle ear effusion.
Endocardium,a complex structure that contains the heart muscle and its supporting structures.
Unicellular,a new concept in the field of cell biology.
Anuria,a rare complication of acute pyelonephritis.
Vasodilation,a major determinant of the hemodynamic effects of beta-adrenergic receptor stimulation.
