Term,Retrieved_Context,BioGPT_RAG_Definition
Macrophage,Macrophage,a key cell in the pathogenesis of atherosclerosis and its complications.
Osteomalacia,Osteomalacia,"a disease of the bone and vitamin D deficiency rickets are diseases of the skeleton which have to be differentiated from osteopetrosis, achondroplasia or other skeletal dysplasias."
Mammography,Mammography,a diagnostic tool for breast cancer screening and diagnosis.
Acromegaly,Acromegaly,"a rare disease with an increased risk of cardiovascular diseases and mortality, especially in patients who are older than 50 years old at diagnosis."
Mentolabial,Mentolabial,a new concept in facial rejuvenation surgery.
Dementia,Dementia,a disease of the brain and not just aging.
Metacarpal bones,Metacarpal bones,"a common site of metastasis in breast cancer patients and can be the first sign of metastatic disease to bone, especially when it occurs at an early stage."
Sphygmomanometer,Sphygmomanometer,a new device for measuring blood pressure in the brachial artery and its cuff.
Spirometry,Spirometry,a diagnostic tool for the diagnosis of pulmonary diseases in children and adolescents.
Microglia,Microglia,"a key player in the pathogenesis of Alzheimer's disease (AD) and other neurodegenerative diseases, such as Parkinson's disease, amyotrophic lateral sclerosis, Huntington's disease etc..."
Monocyte,Monocyte,a key cell in the pathogenesis of atherosclerosis and its complications.
Morphology,Morphology,a key to the diagnosis of diseases and their treatment.
Multipara,Multipara,"a new name for the genus Apios (Hemiptera, Cicadellidae) and its type species A."
Myoma,Myoma,"a benign tumor of the uterus, and myomectomy is one of the most common surgical procedures performed for uterine fibroids in women worldwide."
Myringotome,Myringotome,"a new type of myringotomy tube with an internal diameter of 1.5 mm and a length of 10 cm, which has been developed by the authors' group for use in children under 2 years old."
Myxoma,Myxoma,a benign tumor of the heart with an unpredictable clinical course and prognosis.
Nanomelia,Nanomelia,"a rare congenital anomaly of the lower extremities with an incidence ranging from 1 in 10,000 to 1 in 20,000 live births, and it has been reported as a result of thalidomide embryopathy or maternal drug use during pregnancy."
Paranasal,Paranasal,a new concept in the treatment of chronic sinusitis and nasal polyposis.
Natality,Natality,a medical concept and its meaning in the context of health care.
Neonate,Neonate,"a newborn infant with an abnormal heart rate pattern and / or rhythm, which may be associated with serious cardiac disease in the neonatal period."
Nephron,Nephron,"a key to the understanding of renal function and disease, but it has been neglected in clinical practice for many years."
Neurosis,Neurosis,"a disease of the nervous system, and its treatment by acupuncture or moxibustion has been used for centuries in China to treat various diseases including neuroses."
Nocturia,Nocturia,"a common problem in older adults and can be associated with significant morbidity, including falls, fractures, urinary tract infections (UTIs), incontinence, and decreased quality of life."
Nulligravida,Nulligravida,"the most common type of pregnancy in India and it has been associated with adverse maternal outcomes such as preeclampsia, gestational diabetes mellitus (GDM), preterm birth, low birthweight, stillbirth etc."
Nyctophobia,Nyctophobia,"a new name for the genus Nycteribia (Coleoptera, Curculionidae) and emended description of Nyctinus rufipes (Fabricius, 1775)."
Ocular,Ocular,a medical term in the eye clinic?
Odontalgia,Odontalgia,"a painful condition of the oral cavity, which can be caused by several factors such as trauma or inflammation and may lead to irreversible damage in the periodontal ligament (PDL)."
Steroid,Steroid,a steroid hormone and its receptor.
Oliguria,Oliguria,a common clinical sign in the newborn infant and its management.
Melanoma,Melanoma,"a disease of the skin, but it can also be found in other organs such as the eye and brain."
Angiosarcoma,Angiosarcoma,"a rare malignant tumor of the heart and great vessels with poor prognosis, but it has been reported in association with radiation therapy or chemotherapy for various malignancies including angiosarcoma."
Opthalmoscope,Opthalmoscope,a new device for the diagnosis of glaucoma and ocular hypertension in children.
Diplopia,Diplopia,"a common symptom of orbital tumors and can be caused by various diseases, including benign or malignant neoplasms, inflammatory processes, trauma, vascular abnormalities, and congenital anomalies."
Biopsy,Biopsy,a diagnostic tool for the diagnosis of chronic hepatitis C virus infection in patients with liver cirrhosis and hepatocellular carcinoma.
Orchitis,Orchitis,"a common disease in children and adolescents, but it can be easily overlooked by the general practitioner (GP) due to its nonspecific presentation."
Orchidoepididymectomy,Orchidoepididymectomy,"a surgical procedure for the treatment of obstructive azoospermia in men with congenital absence or aplasia of the vas deferens, and it has been used since 1962 by many authors worldwide to treat this condition."
Endometriosis,Endometriosis,a disease of the female genital tract and its treatment with medical therapy.
Endosteum,Endosteum,a new concept in the treatment of chronic venous insufficiency (CVI) and its complications.
Colostomy,Colostomy,"a surgical procedure that can be performed in any hospital, but it must not be considered as an emergency surgery because of the risk of complications and death if left untreated or inadequately treated."
Otoplasty,Otoplasty,a surgical procedure for the correction of congenital ear deformities in children and adolescents.
Laparotomy,Laparotomy,"a surgical procedure that can be performed by any surgeon, regardless of his or her specialty and experience in the field."
Aqueous,Aqueous,a new name for the eye's aqueous humor?
Ovulation,Ovulation,"a physiological process that occurs in the female genital tract and is regulated by hormones, such as estrogen and progesterone."
Pachyderma,Pachyderma,"a rare disease of the skin with unknown etiology and pathogenesis, characterized by hyperkeratosis, papillomatosis, acanthosis, and follicular plugging."
Palatoschisis,Palatoschisis,"a rare congenital malformation of the palate, which can be associated with other malformations and syndromes."
Pancytopenia,Pancytopenia,a rare complication of chemotherapy for cancer and can be fatal if not recognized early.
Papillary,Papillary,a benign tumor of the thyroid gland with an uncertain prognosis and no treatment.
Parathyroid glands,Parathyroid glands,a target organ for the action of vitamin D and its metabolites.
Hemiparesis,Hemiparesis,"a rare complication of stroke and can be associated with significant morbidity, mortality, and cost to the health care system."
Patellectomy,Patellectomy,"a surgical procedure that removes the patella and its ligaments, which are important for stability of the knee joint."
Lymphadenopathy,Lymphadenopathy,"a common disease in the elderly, but its diagnosis and treatment are often difficult because of their nonspecific clinical presentation."
Pediatrics,Pediatrics,a medical specialty of the 21st century
Pedestrian,Pedestrian,a new concept in the field of traffic safety and public health.
Thrombocytopenia,Thrombocytopenia,"a common complication of cancer chemotherapy and its treatment with thrombopoietin (TPO) has been shown to increase platelet counts in patients receiving myelosuppressive therapy for solid tumors, lymphomas or leukemias."
Dyspepsia,Dyspepsia,a common disorder in the elderly and its management can be challenging for both patients and physicians alike.
Percutaneous,Percutaneous,a safe and effective treatment for chronic venous insufficiency of the lower extremities?
Peripheral vision,Peripheral vision,"not a visual field of the eye but an area in which there are many different types and sizes of objects, including faces."
Osteopetrosis,Osteopetrosis,"a rare disease of the bone marrow and its clinical manifestations are varied, ranging from asymptomatic to severe skeletal deformities with fractures or even death in infancy due to respiratory failure."
Oophoropexy,Oophoropexy,a new surgical technique for the treatment of ptosis and epicanthus inversus syndrome in children.
Phacolysis,Phacolysis,"a rare cause of sudden blindness in children and adolescents, but it can be life-threatening if not diagnosed early enough."
Dysphagia,Dysphagia,"a common problem in the elderly and can be associated with significant morbidity, mortality, and cost to society."
Aphasia,Aphasia,"a disorder of language, and the word ""aphasia"" has been used to describe aphasic patients as having either an inability or ability to produce words correctly in response to verbal stimuli (e.g., ""I can't say any English words"")."
Phlebitis,Phlebitis,"a common complication of intravenous therapy, and its incidence varies widely among different institutions."
Photophobia,Photophobia,"a common symptom in patients with migraine and other disorders of the central nervous system (CNS), such as multiple sclerosis or Parkinson's disease."
Photosensitivity,Photosensitivity,"a common condition in children and adolescents, but the diagnosis of photosensitivity can be challenging for clinicians because it may mimic other conditions such as eczema or atopic dermatitis."
Phrenopathy,Phrenopathy,"a disease of the kidney, which can be caused by various factors such as hypertension and diabetes mellitus."
Physiology,Physiology,"the science of medicine, and pathology is the art of medicine."
Symphysis,Symphysis,"a common site of injury in the elderly population and may be associated with significant morbidity, including fractures or dislocations requiring surgical intervention."
Hyperplasia,Hyperplasia,"a pathological condition of the breast, which can be caused by many factors and may lead to different clinical manifestations depending on its location in relation with the nipple areola complex (NAC) or other structures within it."
Cytoplasm,Cytoplasm,"a dynamic and complex organelle that plays an important role in cell biology, including the regulation of gene expression, protein synthesis, signal transduction pathways, apoptosis, autophagy, DNA repair mechanisms, and other cellular processes."
Rhinoplasty,Rhinoplasty,"a surgical procedure that can be performed in any setting, including the operating room and outpatient clinic."
Hemiplegia,Hemiplegia,"a disorder of the nervous system, and its treatment with botulinum toxin type A (BTX-A) has been used for many years in China to treat hemiplegia."
Sleep apnea,Sleep apnea,"a common disorder in the elderly population and its prevalence increases with age, especially among men."
Pneumonectomy,Pneumonectomy,"a surgical procedure that requires the use of an artificial lung, which can be used as a temporary or permanent substitute for the natural one in some cases."
Podocyte,Podocyte,a new cell type in the kidney glomerulus.
Hemopoiesis,Hemopoiesis,"a complex process that involves the production of blood cells, including erythrocytes and platelets."
Polyuria,Polyuria,a common symptom in patients with diabetes mellitus type 2 and its treatment by tolvaptan (V2 receptor antagonist).
Postpartum,Postpartum,a time of transition for women and their families.
Prenatal,Prenatal,"not a medical diagnosis, but an early and accurate diagnosis of the disease."
Prognosis,Prognosis,not a contraindication to surgery in patients with chronic obstructive pulmonary disease and emphysema?
Proctology,Proctology,"a new specialty in the field of gastroenterology and hepato-pancreatology, with an increasing number of publications on this subject since its first description by Jean Baptiste Leriche (1859)."
Prostatitis,Prostatitis,"a common disease of the prostate gland, which can be treated with antibiotics and / or anti-inflammatory drugs."
Apoptosis,Apoptosis,a new concept in the pathogenesis of atherosclerosis and its complications.
Quadriceps,Quadriceps,"a muscle of the knee joint, and its function in human locomotion."
Retinopathy,Retinopathy,a disease of the eye and not just an image.
Rhinoorrhea,Rhinoorrhea,"a common symptom in children and adolescents with asthma, rhinitis or sinusitis."
Rhytidoplasty,Rhytidoplasty,a safe and effective procedure for the treatment of facial aging in women with minimal complications.
Hemorrhage,Hemorrhage,"a common complication of the use of oral anticoagulants (OAC), and it can be life-threatening if not treated promptly."
Cholecystorrhaphy,Cholecystorrhaphy,a safe and effective procedure for the treatment of acute cholecystitis in elderly patients with comorbid conditions.
Diarrhea,Diarrhea,"not an infectious disease but a symptom of the intestinal tract and its treatment with antibiotics, antidiarrheals or laxatives."
Amniorrhexis,Amniorrhexis,"a rare complication of pregnancy and can be associated with significant maternal morbidity, fetal mortality, and neonatal complications such as respiratory distress syndrome (RDS) or meconium aspiration syndrome (MAS)."
Salpingotomy,Salpingotomy,"a safe and effective treatment for infertility associated with tubal factor disease, but the procedure has not been shown to be superior in terms of pregnancy rates or live birth rate compared with other surgical procedures such as microsurgery."
Pyosalpinx,Pyosalpinx,"a rare complication of pelvic inflammatory disease (PID), which can be difficult to diagnose and treat in the emergency department setting."
Rhabdomyosarcoma,Rhabdomyosarcoma,"a rare tumor of the head and neck region in children, with an incidence rate between 1 / 10,000 to 1 / 20,000 live births."
Scapulectomy,Scapulectomy,"a surgical procedure for the treatment of scapula tumors and metastases, especially in patients with advanced disease or multiple metastatic lesions."
Cranioschisis,Cranioschisis,"a rare congenital anomaly of the brain and spinal cord, which can be associated with other anomalies such as hydrocephalus or spina bifida occulta."
Arteriosclerosis,Arteriosclerosis,"a disease of the arterial wall, and its treatment with drugs or surgery has been used for many years in clinical practice to treat patients suffering from arteriosclerosis obliterans (ASO)."
Endoscope,Endoscope,a new instrument for the diagnosis of gastrointestinal diseases and endoscopic surgery.
Endoscopy,Endoscopy,"the gold standard for diagnosis of gastrointestinal diseases, but it has limitations in terms of sensitivity and specificity."
Sebaceous gland,Sebaceous gland,"a common site of metastasis in breast cancer patients and may be the first sign of disease recurrence or even distant metastases, especially to bone marrow."
Semilunar valves,Semilunar valves,a new type of valve for the treatment of mitral stenosis in children and adolescents with rheumatic heart disease.
Sialic Acid,Sialic Acid,a Biomarker of Cancer and Inflammation in the Human Body.
Agranulocytosis,Agranulocytosis,"a rare but serious complication of chemotherapy and radiotherapy for cancer treatment, especially in patients with haematological malignancies or solid tumours."
Vasospasm,Vasospasm,"a common cause of stroke in children and young adults with sickle cell disease (SCD), but the exact prevalence remains unknown because most studies have been limited to small numbers of patients or are retrospective."
Spirometer,Spirometer,a new instrument for the measurement of blood pressure and heart rate in man.
Homeostasis,Homeostasis,a fundamental concept in medicine and health care.
Ureterostenosis,Ureterostenosis,a rare cause of urinary obstruction in children and adolescents.
Stethoscope,Stethoscope,"a medical device for the diagnosis of heart disease and other diseases in children, especially those with congenital anomalies or acquired conditions such as cardiac failure."
Nephrostomy,Nephrostomy,a safe and effective procedure for the treatment of acute renal failure in patients with severe head injury.
Subcutaneous,Subcutaneous,a new treatment for diabetes mellitus type 2?
Suprascapular,Suprascapular,a new name for the suprascapular notch of the scapula?
Symphysis,Symphysis,"a common site of injury in the elderly population and may be associated with significant morbidity, including fractures or dislocations requiring surgical intervention."
Tachycardia,Tachycardia,"a heart disease, but it can be caused by many different diseases and conditions."
Tarsitis,Tarsitis,"a common condition in the elderly and may be associated with other conditions such as osteoarthritis, osteoporosis or diabetes mellitus."
Metatarsal,Metatarsal,a new concept in the treatment of hallux valgus deformity.
Tendinitis,Tendinitis,"a common disease of the shoulder joint in athletes and musicians, but it can also be seen as an isolated finding or associated with other diseases such as rotator cuff tears, glenohumeral instability, and biceps tendonitis."
Teratoma,Teratoma,a rare tumor of the ovary in children and adolescents.
Testicular,Testicular,a rare tumor in children and adolescents.
Tetralogy of Fallot,Tetralogy of Fallot,"a rare cyanotic congenital heart disease with high mortality and morbidity rates in the neonatal period, but it has been reported to have good prognosis after surgical repair at early age."
Thoracolumbar Spine,Thoracolumbar Spine,"a complex anatomical structure with many variations and pathologies, which can be treated by different surgical approaches depending on the type of pathology."
Hemothorax,Hemothorax,a rare complication of blunt chest trauma in children and adolescents.
Thrombin,Thrombin,"a key player in the pathogenesis of atherosclerosis and thrombosis, but its role as an inflammatory mediator has not been fully elucidated yet."
Dystocia,Dystocia,"the result of an abnormal uterine contraction, and it can be classified into three types according to its severity; dystocia with normal fetal heart rate (FHR) pattern or mild-moderate deceleration in FHR tracing, severe decelerations in FHR trace and complete arrest of FHR during labor."
Dermatome,Dermatome,a new concept in the treatment of chronic venous insufficiency (CVI) and varicose veins.
Transdermal,Transdermal,a new therapeutic approach for the treatment of psoriasis vulgaris?
Triceps,Triceps,a common site for the development of plantar fasciitis and Achilles tendinopathy in athletes.
Cholecystolithotripsy,Cholecystolithotripsy,a new technique for the treatment of gallbladder stones in patients with acute cholecystitis and cholangitis.
Hypertrophy,Hypertrophy,a pathological condition of the heart and its treatment with angiotensin-converting enzyme inhibitors (ACE) or beta blockers.
Tympanometry,Tympanometry,a diagnostic tool for the diagnosis of middle ear diseases.
Endocardium,Endocardium,a new concept in cardiology and cardiovascular surgery.
Unicellular,Unicellular,a new concept in the field of medicine and biology?
Anuria,Anuria,a rare complication of renal transplantation in children and adolescents.
Vasodilation,Vasodilation,"a physiological process that occurs in response to changes in blood pressure and flow, which are the result of an interaction between vascular smooth muscle cells (VSMC) and endothelial cells (EC)."
